,Price,Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7
2015-04-11,2098.85,1334.1833333333334,1216.818,1259.569,605.0711666666667,1328.336,2883.4666666666667,5266.530333333333
2015-04-12,2095.64,1328.3066666666666,1225.521,1258.136,606.7823333333333,1327.4350000000002,2878.1333333333337,5262.7536666666665
2015-04-13,2092.43,1322.43,1234.224,1256.703,608.4935,1326.534,2872.8,5258.977
2015-04-14,2095.84,1317.84,1230.867,1255.203,613.627,1323.827,2856.8,5249.815
2015-04-15,2106.63,1336.63,1209.348,1259.286,599.965,1326.93,2856.8,5248.623
2015-04-16,2104.99,1342.99,1258.119,1260.702,643.548,1330.036,2856.8,5223.676
2015-04-17,2081.18,1327.18,1238.886,1257.369,631.749,1333.144,2840.8,5245.901
2015-04-18,2087.5866666666666,1336.2533333333333,1243.761,1259.331,637.0053333333334,1334.181,2840.8,5236.496666666667
2015-04-19,2093.9933333333333,1345.3266666666668,1248.636,1261.2930000000001,642.2616666666667,1335.218,2840.8,5227.092333333333
2015-04-20,2100.4,1354.4,1253.511,1263.255,647.518,1336.255,2840.8,5217.688
2015-04-21,2097.29,1359.29,1266.795,1264.357,662.194,1339.368,2840.8,5212.506
2015-04-22,2107.96,1361.96,1254.177,1264.408,647.784,1336.659,2840.8,5210.838
2015-04-23,2112.93,1374.93,1282.131,1267.238,674.394,1339.775,2840.8,5190.07
2015-04-24,2117.69,1371.69,1292.229,1266.022,672.1546666666667,1337.063,2840.8,5182.677
2015-04-25,2114.766666666667,1371.4333333333334,1292.496,1265.9863333333333,671.4082222222222,1338.1026666666667,2846.1333333333337,5188.311333333333
2015-04-26,2111.8433333333332,1371.1766666666667,1292.763,1265.9506666666666,670.6617777777778,1339.1423333333335,2851.4666666666667,5193.9456666666665
2015-04-27,2108.92,1370.92,1293.03,1265.915,669.9153333333334,1340.182,2856.8,5199.58
2015-04-28,2114.76,1384.76,1269.477,1268.929,667.676,1343.304,2856.8,5204.321
2015-04-29,2106.85,1368.85,1272.123,1265.008,665.688,1340.589,2872.8,5223.412
2015-04-30,2085.51,1355.51,1255.716,1262.225,656.205,1343.713,2872.8,5251.659
2015-05-01,2108.29,1370.29,1246.734,1264.85,644.763,1340.995,2856.8,5225.986
